City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
101,Coahuayana,MX,2022-07-25 17:16:41,18.7333,-103.6833,88.05,61,96,4.34,overcast clouds
102,Tuktoyaktuk,CA,2022-07-25 17:16:42,69.4541,-133.0374,48.2,81,75,11.5,broken clouds
103,Phalaborwa,ZA,2022-07-25 17:16:42,-23.943,31.1411,65.48,43,0,4.81,clear sky
104,Ishikari,JP,2022-07-25 17:16:42,43.2397,141.3539,64.26,88,5,2.33,clear sky
105,Te Anau,NZ,2022-07-25 17:16:43,-45.4167,167.7167,37.2,95,100,2.53,overcast clouds
106,Torbay,CA,2022-07-25 17:16:03,47.6666,-52.7314,85.87,54,75,16.11,broken clouds
107,Pevek,RU,2022-07-25 17:14:51,69.7008,170.3133,34.86,87,88,6.96,overcast clouds
108,Lorengau,PG,2022-07-25 17:14:51,-2.0226,147.2712,81.0,81,38,5.75,scattered clouds
109,Marawi,PH,2022-07-25 17:16:43,7.9986,124.2928,70.03,90,100,3.33,overcast clouds
110,Pita,GN,2022-07-25 17:16:44,10.8333,-12.5833,76.62,92,88,4.97,moderate rain
111,Tiksi,RU,2022-07-25 17:16:05,71.6872,128.8694,45.5,93,99,2.95,overcast clouds
112,Flinders,AU,2022-07-25 17:16:44,-34.5833,150.8552,55.38,88,91,5.01,light rain
113,Lagoa,PT,2022-07-25 17:16:44,39.05,-27.9833,75.02,83,5,8.01,clear sky
114,Airai,TL,2022-07-25 17:16:45,-8.9266,125.4092,54.19,74,11,3.0,few clouds
115,Port Lincoln,AU,2022-07-25 17:16:45,-34.7333,135.8667,53.19,64,44,12.28,scattered clouds
116,Avera,US,2022-07-25 17:16:45,33.194,-82.5271,89.65,45,79,7.38,broken clouds
117,Kembe,CF,2022-07-25 17:16:46,4.6228,21.8865,73.78,92,99,2.77,overcast clouds
118,Ilulissat,GL,2022-07-25 17:16:46,69.2167,-51.1,44.62,87,75,5.75,broken clouds
119,Norden,DE,2022-07-25 17:16:46,53.6,7.2,72.95,72,88,20.22,overcast clouds
120,Cherskiy,RU,2022-07-25 17:16:47,68.75,161.3,41.68,70,10,9.04,clear sky
