City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
525,Sinjai,ID,76.24,overcast clouds,-5.1241,120.253,Wisma Sandika
526,Santa Cruz De La Palma,ES,78.94,clear sky,28.6835,-17.7642,H10 Taburiente Playa
528,Fussen,DE,86.67,few clouds,47.8739,12.1695,Hotel Gasthof Flötzinger Bräu
529,Namatanai,PG,78.3,light rain,-3.6667,152.4333,Seagulls Inn Namatani
530,Gumdag,TM,85.19,overcast clouds,39.2061,54.5906,
531,Jalpan,MX,82.92,overcast clouds,21.2333,-99.4833,Hotel Mision Jalpan
532,Madang,PG,77.34,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
533,Pucallpa,PE,86.04,broken clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
535,Jinxi,CN,81.05,overcast clouds,30.4323,116.2922,Jinling Hotel
537,Zavetnoye,RU,77.74,scattered clouds,47.1194,43.8903,
540,Esmeraldas,BR,78.91,clear sky,-19.7625,-44.3139,Forasteiro Pousada
541,Clarksburg,US,85.3,thunderstorm with light rain,39.2807,-80.3445,Greenbrier Motel & Restaurant
542,Sisophon,KH,79.03,scattered clouds,13.5859,102.9737,Pyramid Hotel
544,Nyimba,ZM,70.99,broken clouds,-14.5566,30.8149,Dali Dali Lodge
549,Itarema,BR,87.64,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
552,Ibipeba,BR,82.54,overcast clouds,-11.6408,-42.0111,Quitanda santos
560,Nhulunbuy,AU,70.41,few clouds,-12.2333,136.7667,East Arnhem Real Estate
566,Uturoa,PF,76.73,moderate rain,-16.7333,-151.4333,Villa Tonoï
567,Yakymivka,UA,73.99,light rain,46.6897,35.1536,Hotelʹ
568,San Pedro,PH,80.26,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
569,Perehonivka,UA,74.19,scattered clouds,48.5355,30.5192,
570,Seoul,KR,76.6,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
571,Oyama,JP,84.58,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
572,Bengkulu,ID,74.66,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
574,Grand-Lahou,CI,77.61,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
576,Toba Tek Singh,PK,87.42,overcast clouds,30.9743,72.4827,Haji Muhammad Ashraf(x Consular)
578,Michigan City,US,76.48,scattered clouds,41.7075,-86.895,Microtel Inn & Suites by Wyndham Michigan City
579,Puerto Carreno,CO,82.38,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
580,Sola,VU,79.23,scattered clouds,-13.8833,167.55,Leumerus Bungalows
582,Korla,CN,84.11,overcast clouds,41.7597,86.1469,Gulisitan Hotel
583,Wahiawa,US,73.87,overcast clouds,21.5028,-158.0236,The Inn At Schofield
584,Ahuimanu,US,76.86,light rain,21.4447,-157.8378,Paradise Bay Resort
585,Tianpeng,CN,81.07,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
586,Mogadishu,SO,76.08,scattered clouds,2.0371,45.3438,Hotel Juba
589,Tanhacu,BR,80.69,overcast clouds,-14.0214,-41.2481,Balneário Jurema
